Sample Detector Cq
LA3 gene_csf 27.99417114
LA3 gene_cytb 25.44002151
LA3 gene_nle 26.47083664
LA3 gene_oamt 25.38081551
LA3 gene_pbl 25.95658493
LA3 gene_rab 26.39912415
LA3 gene_upf 26.15684891
LA3 gene_nadh 23.64328575
LA3 gene_26s 26.6121521
LA3 gene_12dih 23.09680939
LA3 gene_actin 28.38821983
LA3 gene_csf 28.18782234
LA3 gene_cytb 25.17902565
LA3 gene_nle 26.38340187
LA3 gene_oamt 25.17975807
LA3 gene_pbl 26.02252769
LA3 gene_rab 26.42774582
LA3 gene_upf 25.99748993
LA3 gene_nadh 23.76587486
LA3 gene_26s 26.5443058
LA3 gene_12dih 23.00789833
LA3 gene_actin 28.25147057
LA3 gene_csf 27.92665672
LA3 gene_cytb NA
LA3 gene_nle NA
LA3 gene_oamt 25.10548592
LA3 gene_pbl NA
LA3 gene_rab 26.61017227
LA3 gene_upf 26.2522049
LJ4 gene_nadh 28.42344093
LJ4 gene_26s 25.2712574
LJ4 gene_12dih 22.65826988
LJ4 gene_actin 27.70418549
LJ4 gene_csf 26.80467987
LJ4 gene_cytb 24.01086235
LJ4 gene_nle 25.69312668
LJ4 gene_oamt 23.87701416
LJ4 gene_pbl 24.9769516
LJ4 gene_rab 25.69700813
LJ4 gene_upf 26.31804276
LJ4 gene_nadh 28.14291573
LJ4 gene_26s 25.22838402
LJ4 gene_12dih 22.72717476
LJ4 gene_actin 27.57880783
LJ4 gene_csf 26.91058922
LJ4 gene_cytb 24.14132118
LJ4 gene_nle 25.72163582
LJ4 gene_oamt 24.18398666
LJ4 gene_pbl 25.07020569
LJ4 gene_rab 25.7353344
LJ4 gene_upf 26.70456886
LJ4 gene_nadh 28.39459038
LJ4 gene_26s 24.98142052
LJ4 gene_12dih 22.838274
LJ4 gene_actin 27.43763161
LJ4 gene_csf 26.64318848
LJ4 gene_cytb 24.1273365
LJ4 gene_nle 25.69408035
LJ4 gene_oamt 24.20412064
LJ4 gene_pbl 25.01129341
LJ4 gene_rab 25.56982803
LJ4 gene_upf 26.74578857
LJ4 gene_nadh 28.00780869
LJ4 gene_26s 24.99639702
LJ4 gene_12dih 22.79100609
LJ4 gene_actin 27.58955383
LJ4 gene_csf 27.07712173
LJ4 gene_cytb 24.09176636
LJ4 gene_nle 25.682724
LJ4 gene_oamt 24.20590973
LJ4 gene_pbl 24.88900375
LJ4 gene_rab 25.40909195
LJ4 gene_upf 26.47018242
LJ5 gene_nadh 22.06550407
LJ5 gene_26s 24.66111755
LJ5 gene_12dih 21.99918938
LJ5 gene_actin 26.03751373
LJ5 gene_csf 26.12399292
LJ5 gene_cytb 23.42607689
LJ5 gene_nle 25.28539658
LJ5 gene_oamt 23.54783058
LJ5 gene_pbl 23.76941681
LJ5 gene_rab 25.06830215
LJ5 gene_upf 25.98090363
LJ5 gene_nadh 21.95836639
LJ5 gene_26s 24.41002846
LJ5 gene_12dih 21.88170242
LJ5 gene_actin 26.28187561
LJ5 gene_csf 26.22421837
LJ5 gene_cytb 23.204813
LJ5 gene_nle 25.03219795
LJ5 gene_oamt 23.34499359
LJ5 gene_pbl 23.57902908
LJ5 gene_rab 24.7165699
LJ5 gene_upf 25.83225441
LJ5 gene_nadh 21.86658859
LJ5 gene_26s 24.32141876
LJ5 gene_12dih 21.83820915
LJ5 gene_actin 25.82427788
LJ5 gene_csf 26.01646042
LJ5 gene_cytb NA
LJ5 gene_nle 25.01255989
LJ5 gene_oamt 23.18332863
LJ5 gene_pbl 23.46101189
LJ5 gene_rab 24.62270737
LJ5 gene_upf 25.57209969
LJ5 gene_nadh 21.82514954
LJ5 gene_26s NA
LJ5 gene_12dih NA
LJ5 gene_actin NA
LJ5 gene_csf NA
LJ5 gene_cytb NA
LJ5 gene_nle NA
LJ5 gene_oamt NA
LJ5 gene_pbl NA
LJ5 gene_rab NA
LJ5 gene_upf NA
LJ6 gene_nadh 24.68941116
LJ6 gene_26s 24.94780922
LJ6 gene_12dih 22.43612862
LJ6 gene_actin 26.10925865
LJ6 gene_csf 26.63366318
LJ6 gene_cytb 23.99813461
LJ6 gene_nle 25.10537338
LJ6 gene_oamt 23.61325455
LJ6 gene_pbl 24.70829201
LJ6 gene_rab 25.45418549
LJ6 gene_upf 26.15825081
LJ6 gene_nadh 24.52635765
LJ6 gene_26s 24.78786659
LJ6 gene_12dih 22.42939377
LJ6 gene_actin 26.2189312
LJ6 gene_csf 26.5224514
LJ6 gene_cytb 23.8187542
LJ6 gene_nle 25.28348351
LJ6 gene_oamt 23.5705204
LJ6 gene_pbl 24.84724998
LJ6 gene_rab 25.41353989
LJ6 gene_upf 26.00984192
LJ6 gene_nadh 24.53549385
LJ6 gene_26s 24.92528915
LJ6 gene_12dih 22.50355721
LJ6 gene_actin 26.26712036
LJ6 gene_csf 26.66582108
LJ6 gene_cytb 23.85513306
LJ6 gene_nle 25.02873993
LJ6 gene_oamt 23.61439896
LJ6 gene_pbl 24.79561424
LJ6 gene_rab 25.37241936
LJ6 gene_upf 26.15958977
LJ6 gene_nadh NA
LJ6 gene_26s NA
LJ6 gene_12dih NA
LJ6 gene_actin NA
LJ6 gene_csf NA
LJ6 gene_cytb NA
LJ6 gene_nle NA
LJ6 gene_oamt NA
LJ6 gene_pbl NA
LJ6 gene_rab NA
LJ6 gene_upf NA
